,Teff,Prot,Age,Mass
50269,5598.551348074941,28.862652937366473,6.064857400586483,0.83832
104341,6030.955753851699,20.289502392353562,6.857748906228535,1.00224
96605,6092.831515216623,10.937248713669183,3.6098448553863816,1.36515
47405,5593.364720225669,29.18776041026319,6.044582618534241,0.83193
119700,6162.090871138101,10.110333093845846,2.539521834607446,1.07226
58482,5646.992051282286,15.478124962308494,2.101691024957676,1.12512
110177,6189.438614930709,11.04110088262039,3.5540321064420786,1.18654
91187,5982.917979297567,22.74337491692907,6.744010743722211,0.99342
93818,5947.2067063587265,16.89909416841256,2.9982867898911,1.17807
81015,5845.392900750743,7.444462024804155,0.5391966943234969,1.04787
28369,5211.917970495772,26.31222956911398,4.664198869934348,0.81298
77549,5846.587778933058,18.49031566834408,2.911958540919917,1.19032
3987,4296.0794988026255,20.66774410326859,2.5871329470533913,0.62223
75914,5861.888834956391,17.495213723325932,2.429287250169979,1.1589
88377,5936.428022323616,9.065956377271366,1.048703092366702,1.11388
42196,5574.039493043249,16.754379252924466,3.669134328195603,1.26963
42110,5538.872011789883,33.01158494560925,6.6564889108589185,0.9348
57190,5614.3849023309385,30.63839480369315,8.129697841800024,0.85651
38853,5465.87996459191,21.07957621981424,2.9654629557610113,0.94292
60584,5777.758252885644,21.078000412385702,5.186477176563517,1.22104
27475,5286.852267823675,28.98898303467015,5.799067409848156,0.7695
127893,6289.117124591301,8.133707296168485,2.5148653711586384,1.22504
89034,5907.999860602062,24.257555859478803,7.486298743342234,0.92018
92528,5978.412760702653,17.271347041315547,2.7628268550574124,1.1017
20555,5140.536992439012,15.3912839314946,1.719632237230725,0.80718
33370,5304.086169444984,33.92426247809803,7.5740075123784605,0.80386
44473,5549.775363699764,10.477120684212624,0.9233582144634814,0.87891
20053,5116.390112916715,18.35669023274514,2.5010140509541623,0.82343
135693,6357.0605293044955,5.714984281792933,3.0518118405944485,1.25235
113997,6103.222956047688,17.70890512619496,7.0824073398082446,0.96213
131002,6245.909585924886,7.40559950626395,3.018002578498074,1.17322
22447,5151.71869269502,17.967668269647856,2.340336854343469,0.86596
138898,6319.727945812719,7.295071134239433,2.709526291056652,1.24959
128314,6210.058813839187,13.528113317573482,5.521104961356468,1.02207
107955,6071.464187649141,20.981781666423743,7.247514279130769,0.94309
56467,5625.820108291797,15.928350112618025,1.8665063244053501,0.90775
110087,6197.963159046477,7.039949055182519,4.01645461556615,1.28798
65814,5703.353797379638,16.609348655970607,2.10730405577657,1.02985
90977,5939.664031378337,13.398797356265883,1.7629823313329482,1.13339
47805,5587.005639133815,16.853071482185946,2.268762056318354,0.86658
4103,4267.497697638196,17.612223925705578,2.092003980341444,0.68223
16240,5086.811688181559,13.719807665119125,1.4590675114072433,0.88897
18818,5066.088712070544,28.14731720005367,5.309819933185358,0.73757
115323,6152.696530733581,13.417091262652109,4.465828827865417,1.12953
100089,6000.9675187141365,16.28571581458972,4.292017078901567,0.96252
31372,5392.457418712746,34.512222491065614,7.653000917410978,0.81998
93872,5900.268092603229,23.851131578639446,5.9169335708172826,1.00357
53549,5620.885973342735,30.483215521802894,8.377133394135296,0.90365
14265,4977.937390919026,2.975459988170364,0.3128673722428718,0.90412
118080,6108.637383431614,6.391639719189913,0.7170594299019518,1.2416
62903,5754.3409677104455,21.93256799360133,4.152473702201435,0.88631
38190,5464.587373535533,31.72029780076697,6.4873267516362025,0.95404
45541,5572.537998353863,23.934831708064117,4.455513581429248,0.92479
22317,5154.350124198741,21.983181848800143,3.523220063314935,0.78051
24356,5267.118524365033,10.915822950830645,1.137422884242961,0.95488
116565,6147.249473998545,12.321104382151631,2.4558218916600216,1.17454
105670,6096.8881681491675,19.91117982272182,6.74913314226876,0.96868
16995,5081.537413035667,22.97450262341432,3.06960159127136,0.78887
47759,5584.514027107969,21.386786800263543,3.3952026667170285,0.85268
82685,5943.948560427888,18.880519812232535,6.544004917613949,1.13559
118143,6110.84615090356,12.221128841101981,2.3517496263773654,1.24995
77548,5836.453951848528,22.45653942474032,5.64681962765357,0.94699
44687,5534.368535268894,20.1796482071724,2.915030785786817,1.05495
29891,5397.7690780534085,20.5444166758936,3.254096959237379,0.79844
78677,5823.347036329912,19.15836411946605,2.875684121986016,1.10056
27726,5235.359566085221,15.197789204422191,1.30458786035979,0.95207
13538,4917.991159772514,31.99999802983619,6.444540565677639,0.70381
53658,5633.351046017602,24.41837855947131,4.135299751324373,0.93559
87460,5999.708738463586,12.871435897753376,2.067040444936236,1.14245
112024,6127.9874988989095,11.779949720974916,4.420268271296512,1.21605
4216,4225.54705365927,35.61204930333817,5.563208473845617,0.65634
110157,6143.620063627634,6.016555324178215,3.402208362355535,1.34723
750,3652.2054147497192,8.841032460691958,1.926166988252933,0.40848
19542,5108.515203345556,19.788205572173418,2.825727362323337,0.79535
88254,5935.031498853523,18.633956578490743,3.366749078383656,1.0484
43954,5563.211241003964,12.88725679683554,1.0346666536077571,0.9757
7510,4568.73774579951,21.48634123159384,2.3361564236036383,0.72398
124042,6231.489066047602,6.697446519194045,2.457381863032377,1.31547
30409,5351.83565979943,37.245838679926344,8.001661683275517,0.81625
130166,6219.602762090051,12.14823697303954,4.1638243719274035,1.02314
30165,5322.989159033053,20.453588206286874,3.235171528923254,0.80458
12427,4840.569550692602,1.3349740769242455,0.1210111246497346,0.82841
133335,6280.421030034334,6.39959706972649,3.0950146857019387,1.24826
70712,5782.5144202079455,19.51940096264215,3.415170159083169,0.96546
126747,6232.256177159559,10.401311519998046,3.254248657640652,1.15812
76385,5813.653700227076,23.277575164844208,4.953720985354638,1.08175
4942,4312.547121198555,17.856034702040482,2.169903987821284,0.7081
13464,4914.839567048117,36.14886967987247,7.897278671094315,0.71155
76648,5835.3857614088065,17.229622175990063,3.191189040830309,0.92003
71015,5721.056680838379,20.13969259048715,2.476675281800346,0.9717
66689,5777.901509361606,23.6829385623233,3.7890716479789686,1.07802
115263,6173.730104478686,15.195388301435035,4.7741732527472855,1.02713
18474,5097.325035392746,21.66020561665848,3.354647942983377,0.78517
235,3443.8695491057783,0.2558902228869648,0.8797567376151092,0.41614
114711,6100.978611754217,16.634478515136383,6.9386896540544365,1.03272
30560,5351.346705778576,34.44861546485817,7.026894329114442,0.85905
83328,5954.055862256696,14.088390197068028,2.218787088831811,1.14254
107402,6071.582575688111,18.10125002458452,6.133750502516291,1.04171
371,3507.450396100147,-0.8798536005673397,0.3507630082261707,0.39255
79178,5826.967028652964,11.709795309955542,1.6065158271023519,1.20109
25948,5256.037271051474,15.421096983083796,1.707826062980895,0.94798
633,3653.99528223174,1.9588981049045293,0.9677423180595784,0.46252
5855,4379.132413079194,40.531535412329134,7.066351311856871,0.66562
2337,3961.8738250443907,38.33581173099863,6.261026260474068,0.51051
56532,5612.973380007707,30.11268752822688,7.040395413444486,0.87485
131275,6203.799232213863,9.368137650326188,1.8270682816358292,1.06827
45767,5502.640871348169,13.86585082163892,1.3779989871686,0.93043
12262,4888.6070892778225,27.34606062785039,3.671265439185322,0.8273
53663,5651.285844352682,6.002646175637122,0.4057530578462545,1.08661
44626,5533.44541817178,32.18663618245996,7.895764384206928,0.79847
121188,6197.615784856948,11.244026566425864,3.562034776342237,1.20899
136963,6341.348333742626,7.695626800190127,4.207396580649154,1.10668
114836,6196.742349526307,11.679157016921163,3.4582624393943786,1.12491
130856,6215.568706916461,12.994510271399422,6.774212106304134,1.00815
14986,4984.546598333522,21.750446669790087,2.8941282312200554,0.75127
118364,6154.122307875554,11.325872308007401,2.795577454624205,1.27229
85791,5986.034643901316,16.822437047497402,3.7359274642114375,1.15371
100506,6084.42430355078,18.292042877893962,7.127703136535784,0.98866
113587,6189.499741261918,9.871198524623047,3.578733230233482,1.14938
